"7-Eleven, Inc.",18101 Coit Rd,TX,Dallas,752526458
John & Clara Min,3900 Colleyville Blvd,TX,Colleyville,76034
SEJ Asset Management & Inv Co,1920 N Collins St,TX,Arlington,760114316
Se Young Corp,205 S Collins St,TX,Arlington,760101227
Southland Corp 25416,3400 S Collins St,TX,Arlington,760143243
SEJ Asset Management & Inv Co,225 E Colorado Blvd,TX,Dallas,75203
Coiffures Inc,1501 N Cooper St,TX,Arlington,76011
Pars Global,8127 S Cooper St,TX,Arlington,76001
Yutan Phillp S & Geok W 1975 Family Trus,1406 Corsicana Hwy,TX,Hillsboro,766452616
7-Eleven Inc,1500 E Corsicana Hwy,TX,Hillsboro,76645
"Baldin Investments, LLC",454 Country Club Rd,TX,Wylie,75098
,7285 Crestway Dr,TX,San Antonio,78239
Sterling Corporation,1065 Cross Timbers Rd,TX,Flower Mound,750281371
"Speedy Stop Food Stores, LLC",7203 Culebra Rd,TX,San Antonio,78251
"7-Eleven, Inc.",10565 Custer Rd,TX,Plano,750255144
"Carlisle Interests, Inc.",100 N Custer Rd,TX,McKinney,750714750
Seven Eleven 33112,1515 Cypress Creek Rd,TX,Cedar Park,78613
"7-Eleven, Inc.",5403 Dallas Pky,TX,Frisco,750347264
,5965-5969 Dallas Pky,TX,Plano,750937878
"7-Eleven, Inc.",8130 Dallas Pky,TX,Frisco,750344056
"7-Eleven, Inc.",1430 E Danforth Rd,OK,Edmond,73034
Keithbev LLC,6360 Davis Blvd,TX,North Richland Hills,761824756
"Black Equities Group, Ltd",3230 W Davis St,TX,Dallas,752112922
Mdc Coast 6 Llc,1400 Eastchase Pky,TX,Fort Worth,76120
7 Eleven Inc,1524 N Ed Carey Dr,TX,Harlingen,785508210
Francis John Foster,3100 Eldorado Pky,TX,McKinney,750704208
"7-Eleven, Inc.",7990 Eldorado Pky,TX,McKinney,750705658
Marvin G & Jeanette M Canter,10820 Eldorado Pky,TX,Frisco,75035
"7-Eleven, Inc.",745 W Elizabeth St,TX,Brownsville,785206317
"7-Eleven, Inc.",2608 Elm St,TX,Dallas,75226
National Retail Properties LP,900 Espejo Molina Rd,TX,Laredo,780467634
"7-Eleven, Inc.",865 N Expressway Expy,TX,Brownsville,785208537
"7-Eleven, Inc.",5900 NW Expressway,OK,Warr Acres,731325101
